,admin_region,admin_city,total(m^2),city(m^2),no_city(m^2),address_compo_short_name,formatted_addres_name,geo_location_lat,geo_location_lng,viewport_north_lat,viewport_north_lng,viewport_south_lat,viewport_south_lng,bounds_north_lat,bounds_north_lng,bounds_south_lat,bounds_south_lng,area,population,classification
117,전라남도,진도군,440115630,44315845,395799785,Jeollanam-do,Jindo,34.4868712,126.2634853,34.6088987,126.4198528,34.1034962,125.7980833,34.6088987,126.4198528,34.1034962,125.7980833,호남권,29432,Town
118,전라남도,신안군,655916742,147424453,508492289,Jeollanam-do,Sinan,34.827332,126.101074,35.2530215,126.3859933,34.0031545,125.0481565,35.2530215,126.3859933,34.0031545,125.0481565,호남권,35592,Town
119,경상북도,포항시,1130011122,334939710,795071412,Gyeongsangbuk-do,Pohang,36.0190178,129.3434808,36.0897,129.4235,35.9489,129.3157,36.3320526,129.5976832,35.8351122,128.9886614,영남권,506909,City
120,경상북도,경주시,1324938359,607194500,717743859,Gyeongsangbuk-do,Gyeongju,35.8561719,129.2247477,35.8823,129.2362,35.8245,129.1725,36.0797791,129.5476923,35.6368001,128.9701628,영남권,262264,City
121,경상북도,김천시,1009827381,117665666,892161715,Gyeongsangbuk-do,Gimcheon,36.1398393,128.1135947,36.16,128.1492,36.1116,128.078,36.2587934,128.3007785,35.8307667,127.8721106,영남권,140765,City
122,경상북도,안동시,1521984291,180722105,1341262186,Gyeongsangbuk-do,Andong,36.5683543,128.729357,36.58,128.77,36.5454,128.6836,36.8230838,129.0014582,36.296101,128.4280363,영남권,165704,City
123,경상북도,구미시,615293655,257460639,357833016,Gyeongsangbuk-do,Gumi,36.119485,128.3445734,36.1588,128.4475,36.0708,128.3005,36.3620761,128.5642327,36.0604027,128.1322544,영남권,423003,City
124,경상북도,영주시,669902030,136400711,533501319,Gyeongsangbuk-do,Yeongju,36.8056858,128.6240551,36.8348,128.6404,36.7964,128.5988,37.0634598,128.7438524,36.6957536,128.4256542,영남권,108443,City
125,경상북도,영천시,919217115,130486987,788730128,Gyeongsangbuk-do,Yeongcheon,35.9732915,128.9385493,35.9927,128.9636,35.9573,128.9188,36.1842658,129.1529516,35.8307605,128.6928299,영남권,97675,City
126,경상북도,상주시,1254658272,152931824,1101726448,Gyeongsangbuk-do,Sangju,36.4109466,128.1590828,36.4307,128.1763,36.4031,128.1454,36.6569183,128.3388062,36.2370309,127.7938878,영남권,98189,City
127,경상북도,문경시,911833371,355244504,556588867,Gyeongsangbuk-do,Mungyeong,36.586148,128.1867972,36.6084,128.2121,36.5808,128.1767,36.8736798,128.3718868,36.5130308,127.8764933,영남권,70016,City
128,경상북도,경산시,411770700,135337616,276433084,Gyeongsangbuk-do,Gyeongsan,35.8250555,128.7415441,35.8488,128.7705,35.7982,128.6881,35.9974206,128.9720044,35.7000483,128.6804441,영남권,282626,City
129,경상북도,군위군,614281574,84077879,530203695,Gyeongsangbuk-do,Gunwi,36.2428355,128.5727702,36.3271931,128.9000626,36.0075086,128.4105311,36.3271931,128.9000626,36.0075086,128.4105311,영남권,22230,Town
130,경상북도,의성군,1175117290,68783321,1106333969,Gyeongsangbuk-do,Uiseong,36.3526576,128.6970053,36.5320477,128.8971164,36.1899337,128.2876162,36.5320477,128.8971164,36.1899337,128.2876162,영남권,50082,Town
